Roma Bur
# starting lines with the # sign are ignored and served as comments
# format: name, element, slot, ammo, type

# Possible args
# name: anything (the name of the weapon)
# element: Kinetic, Solar, Void, Arc, Stasis, Strand
# slot: Kinetic, Energy, Power
# ammo: Primary, Special, Power
# type: Auto Rifle, Pulse Rifle, Scout Rifle, Hand Cannon, Submachine Gun, Sidearm, Bow, Fusion Rifle, Linear Fusion Rifle, Trace Rifle, Shotgun, Sniper Rifle, Breech Grenade Launcher, Grenade Launcher, Machine Gun, Rocket Launcher, Sword

# Kinetic-slot weapons
Final Warning,Strand,Kinetic,Primary,Sidearm
Monte Carlo,Kinetic,Kinetic,Primary,Auto Rifle
Outbreak Perfected,Kinetic,Kinetic,Primary,Pulse Rifle
Necrocasm,Kinetic,Kinetic,Primary,Auto Rifle
Wicked Implement,Stasis,Kinetic,Primary,Scout Rifle
Izinagi's Burden,Kinetic,Kinetic,Special,Sniper Rifle
Witherhoard,Kinetic,Kinetic,Special,Breech Grenade Launcher
Cerberus +1,Kinetic,Kinetic,Primary,Auto Rifle
Suros Regime,Kinetic,Kinetic,Primary,Auto Rifle
Sweet Business,Kinetic,Kinetic,Primary,Auto Rifle
Quicksilver Storm,Strand,Kinetic,Primary,Auto Rifle
Wish-Ender,Kinetic,Kinetic,Primary,Bow
Verglass Curve,Stasis,Kinetic,Primary,Bow
Wish-Keeper,Strand,Kinetic,Primary,Bow
Ace of Spades,Kinetic,Kinetic,Primary,Hand Cannon
Crimson,Kinetic,Kinetic,Primary,Hand Cannon
Hawkmoon,Kinetic,Kinetic,Primary,Hand Cannon
Lumina,Kinetic,Kinetic,Primary,Hand Cannon
Malfeasance,Kinetic,Kinetic,Primary,Hand Cannon
Sturm,Kinetic,Kinetic,Primary,Hand Cannon
Last Word,Kinetic,Kinetic,Primary,Hand Cannon
Thorn,Kinetic,Kinetic,Primary,Hand Cannon
Bad Juju,Kinetic,Kinetic,Primary,Pulse Rifle
No Time to Explain,Kinetic,Kinetic,Primary,Pulse Rifle
Revision Zero,Kinetic,Kinetic,Primary,Pulse Rifle
Vigilance Wing,Kinetic,Kinetic,Primary,Pulse Rifle
Dead Man's Tale,Kinetic,Kinetic,Primary,Scout Rifle
MIDA Multi-Tool,Kinetic,Kinetic,Primary,Scout Rifle
The Jade Rabbit,Kinetic,Kinetic,Primary,Scout Rifle
Touch of Malice,Kinetic,Kinetic,Primary,Scout Rifle
Rat King,Kinetic,Kinetic,Primary,Sidearm
Traveler's Chosen,Kinetic,Kinetic,Primary,Sidearm
Cryosthesia 77K,Stasis,Kinetic,Primary,Sidearm
Osteo Striga,Kinetic,Kinetic,Primary,Submachine Gun
The Huckleberry,Kinetic,Kinetic,Primary,Submachine Gun
Bastion,Kinetic,Kinetic,Special,Fusion Rifle
Arbalest,Kinetic,Kinetic,Special,Linear Fusion Rifle
The Chaperone,Kinetic,Kinetic,Special,Shotgun
Conditional Finality,Stasis,Kinetic,Special,Shotgun
Forerunner,Kinetic,Kinetic,Special,Sidearm
Ager's Scepter,Stasis,Kinetic,Special,Trace Rifle

# Energy weapons
Fighting Lion,Void,Energy,Primary,Breech Grenade Launcher
Edge of Action,Void,Energy,Special,Glaive
Edge of Intent,Solar,Energy,Special,Glaive
Edge of Concurrence,Arc,Energy,Special,Glaive
Merciless,Solar,Energy,Special,Fusion Rifle
